timestamp,switch_id,table_id,cookie,priority,in_port,eth_src,eth_dst,out_port,packet_count,byte_count,duration_sec,duration_nsec,avg_pkt_size,pkt_rate,byte_rate,Label_multi,Label_binary
1757673496.2068255,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673496.2163901,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673496.2189236,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673496.2210524,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673496.222893,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673496.2246985,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673496.2265775,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673496.2302678,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673496.2321134,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673496.2339685,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673496.2357502,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673496.6964052,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673497.1992874,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673497.6985834,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673498.2018757,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673498.7015357,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673499.2014687,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673499.7013972,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673500.196984,1,0,0,0,,,,,52,3936,19,107000000,75.6923076923077,2.7215156748835505,205.99780185272414,normal,0
1757673500.6993213,1,0,0,10,,,,,11,1078,9,70000000,98.0,1.2127894156560088,118.85336273428886,normal,0
1757673500.6993213,1,0,0,10,,,,,9,882,9,68000000,98.0,0.9925011027790032,97.2651080723423,normal,0
