timestamp,eth_type,ip_src,ip_dst,ip_proto,ip_ttl,ip_id,ip_flags,ip_len,ip_tos,ip_version,ip_frag_offset,src_port,dst_port,tcp_flags,tcp_seq,tcp_ack,tcp_window,tcp_urgent,udp_sport,udp_dport,udp_len,udp_checksum,icmp_type,icmp_code,icmp_id,icmp_seq,packet_length,transport_protocol,tcp_options_len,Label_multi,Label_binary
1757667886.079374,0x8,192.168.20.10,192.168.20.13,1,64,42179,DF,84,0,4,0,,,,,,,,,,,,8.0,0.0,39890.0,1.0,100,ICMP,,normal,0
1757667886.079387,0x8,192.168.20.10,192.168.20.13,1,64,42179,DF,84,0,4,0,,,,,,,,,,,,8.0,0.0,39890.0,1.0,100,ICMP,,normal,0
1757667886.079401,0x0,192.168.20.13,192.168.20.10,1,64,65055,,84,0,4,0,,,,,,,,,,,,0.0,0.0,39890.0,1.0,100,ICMP,,normal,0
1757667886.079403,0x0,192.168.20.13,192.168.20.10,1,64,65055,,84,0,4,0,,,,,,,,,,,,0.0,0.0,39890.0,1.0,100,ICMP,,normal,0
1757667886.08081,0x8,192.168.20.13,192.168.20.10,1,64,65056,DF,84,0,4,0,,,,,,,,,,,,8.0,0.0,39891.0,1.0,100,ICMP,,normal,0
1757667886.080821,0x8,192.168.20.13,192.168.20.10,1,64,65056,DF,84,0,4,0,,,,,,,,,,,,8.0,0.0,39891.0,1.0,100,ICMP,,normal,0
1757667886.080831,0x0,192.168.20.10,192.168.20.13,1,64,42180,,84,0,4,0,,,,,,,,,,,,0.0,0.0,39891.0,1.0,100,ICMP,,normal,0
1757667886.080833,0x0,192.168.20.10,192.168.20.13,1,64,42180,,84,0,4,0,,,,,,,,,,,,0.0,0.0,39891.0,1.0,100,ICMP,,normal,0
1757667886.618794,,192.168.20.11,192.168.20.13,6,64,1,,40,0,4,0,27688.0,12345.0,S,9774.0,0.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667886.618807,,192.168.20.11,192.168.20.13,6,64,1,,40,0,4,0,27688.0,12345.0,S,9774.0,0.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667886.61882,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,12345.0,27688.0,RA,0.0,9775.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667886.618823,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,12345.0,27688.0,RA,0.0,9775.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667887.254176,,192.168.20.13,192.168.20.11,6,64,1,,40,0,4,0,12345.0,27688.0,SA,15934.0,14323.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667887.254189,,192.168.20.13,192.168.20.11,6,64,1,,40,0,4,0,12345.0,27688.0,SA,15934.0,14323.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667887.2542028,,192.168.20.11,192.168.20.13,6,64,0,DF,40,0,4,0,27688.0,12345.0,R,14323.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667887.254206,,192.168.20.11,192.168.20.13,6,64,0,DF,40,0,4,0,27688.0,12345.0,R,14323.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667887.8994188,,192.168.20.11,192.168.20.13,6,64,1,,40,0,4,0,27688.0,12345.0,A,34706.0,42758.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667887.899431,,192.168.20.11,192.168.20.13,6,64,1,,40,0,4,0,27688.0,12345.0,A,34706.0,42758.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667887.8994439,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,12345.0,27688.0,R,42758.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667887.899447,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,12345.0,27688.0,R,42758.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667888.5290911,,192.168.20.11,192.168.20.13,6,64,1,,340,0,4,0,27688.0,12345.0,PA,61549.0,22757.0,8192.0,0.0,,,,,,,,,356,TCP,0.0,normal,0
1757667888.5291052,,192.168.20.11,192.168.20.13,6,64,1,,340,0,4,0,27688.0,12345.0,PA,61549.0,22757.0,8192.0,0.0,,,,,,,,,356,TCP,0.0,normal,0
1757667888.529119,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,12345.0,27688.0,R,22757.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667888.529122,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,12345.0,27688.0,R,22757.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667889.155275,,192.168.20.13,192.168.20.11,6,64,1,,40,0,4,0,12345.0,27688.0,A,57882.0,37222.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667889.155288,,192.168.20.13,192.168.20.11,6,64,1,,40,0,4,0,12345.0,27688.0,A,57882.0,37222.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667889.155302,,192.168.20.11,192.168.20.13,6,64,0,DF,40,0,4,0,27688.0,12345.0,R,37222.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667889.1553051,,192.168.20.11,192.168.20.13,6,64,0,DF,40,0,4,0,27688.0,12345.0,R,37222.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667889.792746,,192.168.20.11,192.168.20.13,17,64,1,,699,0,4,0,,,,,,,,53752.0,12346.0,679.0,22010.0,,,,,715,UDP,,normal,0
1757667889.792759,,192.168.20.11,192.168.20.13,17,64,1,,699,0,4,0,,,,,,,,53752.0,12346.0,679.0,22010.0,,,,,715,UDP,,normal,0
1757667889.792777,0x3,192.168.20.13,192.168.20.11,1,64,43020,,576,192,4,0,,,,,,,,,,,,3.0,3.0,,,592,ICMP,,normal,0
1757667889.792781,0x3,192.168.20.13,192.168.20.11,1,64,43020,,576,192,4,0,,,,,,,,,,,,3.0,3.0,,,592,ICMP,,normal,0
1757667890.4488869,,192.168.20.11,192.168.20.13,6,64,1,,40,0,4,0,1370.0,23.0,S,37221.0,0.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667890.4489,,192.168.20.11,192.168.20.13,6,64,1,,40,0,4,0,1370.0,23.0,S,37221.0,0.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667890.448916,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,23.0,1370.0,RA,0.0,37222.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667890.448919,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,23.0,1370.0,RA,0.0,37222.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667891.081321,,192.168.20.13,192.168.20.11,6,64,1,,40,0,4,0,23.0,1370.0,SA,11688.0,2909.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667891.081333,,192.168.20.13,192.168.20.11,6,64,1,,40,0,4,0,23.0,1370.0,SA,11688.0,2909.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667891.081346,,192.168.20.11,192.168.20.13,6,64,0,DF,40,0,4,0,1370.0,23.0,R,2909.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
