timestamp,eth_type,ip_src,ip_dst,ip_proto,ip_ttl,ip_id,ip_flags,ip_len,ip_tos,ip_version,ip_frag_offset,src_port,dst_port,tcp_flags,tcp_seq,tcp_ack,tcp_window,tcp_urgent,udp_sport,udp_dport,udp_len,udp_checksum,icmp_type,icmp_code,icmp_id,icmp_seq,packet_length,transport_protocol,tcp_options_len,Label_multi,Label_binary
1757674154.386006,,192.168.159.139,185.125.190.49,6,64,57730,DF,60,0,4,0,48734.0,80.0,S,3226958348.0,0.0,42340.0,0.0,,,,,,,,,76,TCP,5.0,normal,0
1757674154.637568,,185.125.190.49,192.168.159.139,6,128,6491,,44,0,4,0,80.0,48734.0,SA,2072072188.0,3226958349.0,64240.0,0.0,,,,,,,,,62,TCP,1.0,normal,0
1757674154.637609,,192.168.159.139,185.125.190.49,6,64,57731,DF,40,0,4,0,48734.0,80.0,A,3226958349.0,2072072189.0,42340.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757674154.637687,,192.168.159.139,185.125.190.49,6,64,57732,DF,127,0,4,0,48734.0,80.0,PA,3226958349.0,2072072189.0,42340.0,0.0,,,,,,,,,143,TCP,0.0,normal,0
1757674154.637782,,185.125.190.49,192.168.159.139,6,128,6492,,40,0,4,0,80.0,48734.0,A,2072072189.0,3226958436.0,64240.0,0.0,,,,,,,,,62,TCP,0.0,normal,0
1757674154.892015,,185.125.190.49,192.168.159.139,6,128,6493,,229,0,4,0,80.0,48734.0,FPA,2072072189.0,3226958436.0,64240.0,0.0,,,,,,,,,245,TCP,0.0,normal,0
1757674154.892133,,192.168.159.139,185.125.190.49,6,64,57733,DF,40,0,4,0,48734.0,80.0,FA,3226958436.0,2072072379.0,42150.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757674154.8922029,,185.125.190.49,192.168.159.139,6,128,6494,,40,0,4,0,80.0,48734.0,A,2072072379.0,3226958437.0,64239.0,0.0,,,,,,,,,62,TCP,0.0,normal,0
1757674156.521189,0x8,192.168.20.10,192.168.20.13,1,64,58441,DF,84,0,4,0,,,,,,,,,,,,8.0,0.0,10697.0,1.0,100,ICMP,,normal,0
1757674156.521201,0x8,192.168.20.10,192.168.20.13,1,64,58441,DF,84,0,4,0,,,,,,,,,,,,8.0,0.0,10697.0,1.0,100,ICMP,,normal,0
1757674156.521213,0x0,192.168.20.13,192.168.20.10,1,64,20174,,84,0,4,0,,,,,,,,,,,,0.0,0.0,10697.0,1.0,100,ICMP,,normal,0
1757674156.521216,0x0,192.168.20.13,192.168.20.10,1,64,20174,,84,0,4,0,,,,,,,,,,,,0.0,0.0,10697.0,1.0,100,ICMP,,normal,0
1757674156.5227869,0x8,192.168.20.13,192.168.20.10,1,64,20175,DF,84,0,4,0,,,,,,,,,,,,8.0,0.0,10698.0,1.0,100,ICMP,,normal,0
1757674156.522797,0x8,192.168.20.13,192.168.20.10,1,64,20175,DF,84,0,4,0,,,,,,,,,,,,8.0,0.0,10698.0,1.0,100,ICMP,,normal,0
1757674156.522808,0x0,192.168.20.10,192.168.20.13,1,64,58442,,84,0,4,0,,,,,,,,,,,,0.0,0.0,10698.0,1.0,100,ICMP,,normal,0
1757674156.522811,0x0,192.168.20.10,192.168.20.13,1,64,58442,,84,0,4,0,,,,,,,,,,,,0.0,0.0,10698.0,1.0,100,ICMP,,normal,0
1757674157.0812461,,192.168.20.11,192.168.20.13,6,64,1,,40,0,4,0,5548.0,12345.0,S,27459.0,0.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757674157.081258,,192.168.20.11,192.168.20.13,6,64,1,,40,0,4,0,5548.0,12345.0,S,27459.0,0.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757674157.0812721,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,12345.0,5548.0,RA,0.0,27460.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757674157.081276,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,12345.0,5548.0,RA,0.0,27460.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757674157.728816,,192.168.20.13,192.168.20.11,6,64,1,,40,0,4,0,12345.0,5548.0,SA,57286.0,282.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757674157.728828,,192.168.20.13,192.168.20.11,6,64,1,,40,0,4,0,12345.0,5548.0,SA,57286.0,282.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757674157.728842,,192.168.20.11,192.168.20.13,6,64,0,DF,40,0,4,0,5548.0,12345.0,R,282.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757674157.728846,,192.168.20.11,192.168.20.13,6,64,0,DF,40,0,4,0,5548.0,12345.0,R,282.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757674158.406827,,192.168.20.11,192.168.20.13,6,64,1,,40,0,4,0,5548.0,12345.0,A,47446.0,44113.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
