timestamp,eth_type,ip_src,ip_dst,ip_proto,ip_ttl,ip_id,ip_flags,ip_len,ip_tos,ip_version,ip_frag_offset,src_port,dst_port,tcp_flags,tcp_seq,tcp_ack,tcp_window,tcp_urgent,udp_sport,udp_dport,udp_len,udp_checksum,icmp_type,icmp_code,icmp_id,icmp_seq,packet_length,transport_protocol,tcp_options_len,Label_multi,Label_binary
1757667554.386711,,192.168.159.139,185.125.190.48,6,64,21998,DF,60,0,4,0,40242.0,80.0,S,813193104.0,0.0,42340.0,0.0,,,,,,,,,76,TCP,5.0,normal,0
1757667554.6459188,,185.125.190.48,192.168.159.139,6,128,6134,,44,0,4,0,80.0,40242.0,SA,2106336615.0,813193105.0,64240.0,0.0,,,,,,,,,62,TCP,1.0,normal,0
1757667554.6459641,,192.168.159.139,185.125.190.48,6,64,21999,DF,40,0,4,0,40242.0,80.0,A,813193105.0,2106336616.0,42340.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667554.646055,,192.168.159.139,185.125.190.48,6,64,22000,DF,127,0,4,0,40242.0,80.0,PA,813193105.0,2106336616.0,42340.0,0.0,,,,,,,,,143,TCP,0.0,normal,0
1757667554.646128,,185.125.190.48,192.168.159.139,6,128,6135,,40,0,4,0,80.0,40242.0,A,2106336616.0,813193192.0,64240.0,0.0,,,,,,,,,62,TCP,0.0,normal,0
1757667554.909123,,185.125.190.48,192.168.159.139,6,128,6136,,229,0,4,0,80.0,40242.0,FPA,2106336616.0,813193192.0,64240.0,0.0,,,,,,,,,245,TCP,0.0,normal,0
1757667554.909252,,192.168.159.139,185.125.190.48,6,64,22001,DF,40,0,4,0,40242.0,80.0,FA,813193192.0,2106336806.0,42150.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667554.909352,,185.125.190.48,192.168.159.139,6,128,6137,,40,0,4,0,80.0,40242.0,A,2106336806.0,813193193.0,64239.0,0.0,,,,,,,,,62,TCP,0.0,normal,0
1757667556.689509,0x8,192.168.20.10,192.168.20.13,1,64,51891,DF,84,0,4,0,,,,,,,,,,,,8.0,0.0,38017.0,1.0,100,ICMP,,normal,0
1757667556.689523,0x8,192.168.20.10,192.168.20.13,1,64,51891,DF,84,0,4,0,,,,,,,,,,,,8.0,0.0,38017.0,1.0,100,ICMP,,normal,0
1757667556.6895359,0x0,192.168.20.13,192.168.20.10,1,64,26094,,84,0,4,0,,,,,,,,,,,,0.0,0.0,38017.0,1.0,100,ICMP,,normal,0
1757667556.689538,0x0,192.168.20.13,192.168.20.10,1,64,26094,,84,0,4,0,,,,,,,,,,,,0.0,0.0,38017.0,1.0,100,ICMP,,normal,0
1757667556.691037,0x8,192.168.20.13,192.168.20.10,1,64,26095,DF,84,0,4,0,,,,,,,,,,,,8.0,0.0,38018.0,1.0,100,ICMP,,normal,0
1757667556.6910481,0x8,192.168.20.13,192.168.20.10,1,64,26095,DF,84,0,4,0,,,,,,,,,,,,8.0,0.0,38018.0,1.0,100,ICMP,,normal,0
1757667556.6910589,0x0,192.168.20.10,192.168.20.13,1,64,51892,,84,0,4,0,,,,,,,,,,,,0.0,0.0,38018.0,1.0,100,ICMP,,normal,0
1757667556.691062,0x0,192.168.20.10,192.168.20.13,1,64,51892,,84,0,4,0,,,,,,,,,,,,0.0,0.0,38018.0,1.0,100,ICMP,,normal,0
1757667557.252225,,192.168.20.11,192.168.20.13,6,64,1,,40,0,4,0,18563.0,12345.0,S,33327.0,0.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667557.252238,,192.168.20.11,192.168.20.13,6,64,1,,40,0,4,0,18563.0,12345.0,S,33327.0,0.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667557.2522519,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,12345.0,18563.0,RA,0.0,33328.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667557.252255,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,12345.0,18563.0,RA,0.0,33328.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667557.923635,,192.168.20.13,192.168.20.11,6,64,1,,40,0,4,0,12345.0,18563.0,SA,20985.0,16501.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667557.923649,,192.168.20.13,192.168.20.11,6,64,1,,40,0,4,0,12345.0,18563.0,SA,20985.0,16501.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667557.923664,,192.168.20.11,192.168.20.13,6,64,0,DF,40,0,4,0,18563.0,12345.0,R,16501.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667557.923667,,192.168.20.11,192.168.20.13,6,64,0,DF,40,0,4,0,18563.0,12345.0,R,16501.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667558.580409,,192.168.20.11,192.168.20.13,6,64,1,,40,0,4,0,18563.0,12345.0,A,46064.0,7184.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667558.580426,,192.168.20.11,192.168.20.13,6,64,1,,40,0,4,0,18563.0,12345.0,A,46064.0,7184.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667558.580442,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,12345.0,18563.0,R,7184.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667558.5804448,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,12345.0,18563.0,R,7184.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667559.275717,,192.168.20.11,192.168.20.13,6,64,1,,1088,0,4,0,18563.0,12345.0,PA,48294.0,55797.0,8192.0,0.0,,,,,,,,,1104,TCP,0.0,normal,0
1757667559.275731,,192.168.20.11,192.168.20.13,6,64,1,,1088,0,4,0,18563.0,12345.0,PA,48294.0,55797.0,8192.0,0.0,,,,,,,,,1104,TCP,0.0,normal,0
1757667559.275745,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,12345.0,18563.0,R,55797.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667559.275748,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,12345.0,18563.0,R,55797.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667559.907366,,192.168.20.13,192.168.20.11,6,64,1,,40,0,4,0,12345.0,18563.0,A,26433.0,16200.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667559.907379,,192.168.20.13,192.168.20.11,6,64,1,,40,0,4,0,12345.0,18563.0,A,26433.0,16200.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667559.907394,,192.168.20.11,192.168.20.13,6,64,0,DF,40,0,4,0,18563.0,12345.0,R,16200.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667559.907397,,192.168.20.11,192.168.20.13,6,64,0,DF,40,0,4,0,18563.0,12345.0,R,16200.0,0.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667560.555312,,192.168.20.11,192.168.20.13,17,64,1,,824,0,4,0,,,,,,,,21886.0,12346.0,804.0,7015.0,,,,,840,UDP,,normal,0
1757667560.555325,,192.168.20.11,192.168.20.13,17,64,1,,824,0,4,0,,,,,,,,21886.0,12346.0,804.0,7015.0,,,,,840,UDP,,normal,0
1757667560.5553439,0x3,192.168.20.13,192.168.20.11,1,64,13655,,576,192,4,0,,,,,,,,,,,,3.0,3.0,,,592,ICMP,,normal,0
1757667560.555347,0x3,192.168.20.13,192.168.20.11,1,64,13655,,576,192,4,0,,,,,,,,,,,,3.0,3.0,,,592,ICMP,,normal,0
1757667561.1912131,,192.168.20.11,192.168.20.13,6,64,1,,40,0,4,0,20029.0,23.0,S,8102.0,0.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667561.191225,,192.168.20.11,192.168.20.13,6,64,1,,40,0,4,0,20029.0,23.0,S,8102.0,0.0,8192.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667561.1912382,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,23.0,20029.0,RA,0.0,8103.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
1757667561.191242,,192.168.20.13,192.168.20.11,6,64,0,DF,40,0,4,0,23.0,20029.0,RA,0.0,8103.0,0.0,0.0,,,,,,,,,56,TCP,0.0,normal,0
