src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label_multi,Label_binary,Attack_Type
192.168.10.10,192.168.30.10,35080,80,6,2025-09-12 18:04:31,0.001192,8598993.288590604,24328.859060402687,12583.892617449665,11744.96644295302,15,14,7894,2356,3243,68,526.2666666666667,1068.8410213352074,565,68,168.28571428571428,175.45102229536823,3243,68,353.4482758620689,798.6036342053504,637767.7645659932,300,280,20,4,4.2571428571428566e-05,0.00044,0.0,0.0001088105918463,0.001174,0.000485,0.0,8.385714285714287e-05,0.0001629337539101,0.001157,0.000466,2e-06,8.900000000000001e-05,0.0001542141368357,4,4,0,0,4,5,0,8,26,0,0,0.9333333333333332,353.4482758620689,42340,43440,0,0,0,0,0,0,0,0,6850.0,4.0,1388.0,4.0,185135135.13513517,17794871.794871792,526.2666666666667,168.28571428571428,0,15,14,7894,2356,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,35094,80,6,2025-09-12 18:04:31,0.001062,3205273.0696798493,23540.48964218456,12241.05461393597,11299.435028248588,13,12,1266,2138,247,68,97.3846153846154,63.88034302390738,537,68,178.16666666666666,173.7147246365591,537,68,136.16,135.03945497520343,18235.654400000003,260,240,20,2,4.425e-05,0.000508,0.0,0.0001165043811765,0.001047,0.000553,0.0,8.724999999999998e-05,0.000171110161884,0.00104,0.000508,2e-06,9.454545454545454e-05,0.0001632462521559,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,136.16,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,20092307.69230769,97.3846153846154,178.16666666666666,0,13,12,1266,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,35102,80,6,2025-09-12 18:04:31,0.000918,3762527.2331154686,27233.115468409585,14161.220043572985,13071.8954248366,13,12,1316,2138,272,68,101.23076923076924,72.88996327041284,537,68,178.16666666666666,173.7147246365591,537,68,138.16,136.83937445048485,18725.0144,260,240,20,2,3.825e-05,0.000358,0.0,9.463185245994078e-05,0.000902,0.000388,0.0,7.516666666666667e-05,0.0001402425478313,0.000897,0.000382,2e-06,8.154545454545455e-05,0.0001342178443876,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,138.16,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,19787878.78787879,101.23076923076924,178.16666666666666,0,13,12,1316,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,35108,80,6,2025-09-12 18:04:31,0.000931,3707841.031149302,26852.846401718583,13963.480128893663,12889.36627282492,13,12,1314,2138,271,68,101.07692307692308,72.52952877538016,537,68,178.16666666666666,173.7147246365591,537,68,138.08,136.7613746640476,18703.6736,260,240,20,2,3.879166666666666e-05,0.000387,0.0,9.877667537036372e-05,0.000916,0.000397,0.0,7.633333333333332e-05,0.0001411644037599,0.000911,0.000406,2e-06,8.281818181818183e-05,0.0001392556956118,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,138.08,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,21064516.129032254,101.07692307692308,178.16666666666666,0,13,12,1314,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,35124,80,6,2025-09-12 18:04:31,0.000864,11307870.370370371,33564.81481481482,17361.111111111113,16203.703703703704,15,14,7414,2356,2984,68,494.26666666666665,980.6622569581344,565,68,168.28571428571428,175.45102229536823,2984,68,336.8965517241379,734.0472288116348,538825.3341260405,300,280,20,4,3.0857142857142856e-05,0.000353,0.0,8.041531227931403e-05,0.000848,0.000381,0.0,6.057142857142856e-05,0.0001204258599932,0.0008449999999999,0.000375,2e-06,6.5e-05,0.0001150939415634,4,4,0,0,4,5,0,8,26,0,0,0.9333333333333332,336.8965517241379,42340,43440,0,0,0,0,0,0,0,0,6370.0,4.0,1388.0,4.0,235925925.9259259,22387096.774193548,494.26666666666665,168.28571428571428,0,15,14,7414,2356,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,35132,80,6,2025-09-12 18:04:31,0.00086,4006976.744186047,29069.767441860466,15116.279069767445,13953.488372093025,13,12,1308,2138,268,68,100.6153846153846,71.44824750129227,537,68,178.16666666666666,173.7147246365591,537,68,137.84,136.53034241515692,18640.5344,260,240,20,2,3.5833333333333335e-05,0.00036,0.0,9.005121999296966e-05,0.0008449999999999,0.000367,0.0,7.041666666666667e-05,0.0001286632933495,0.000841,0.00038,2e-06,7.645454545454545e-05,0.0001276304064913,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,137.84,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,21766666.666666664,100.6153846153846,178.16666666666666,0,13,12,1308,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,35148,80,6,2025-09-12 18:04:31,0.000772,4523316.062176166,32383.41968911917,16839.378238341968,15544.041450777202,13,12,1354,2138,291,68,104.15384615384616,79.73884889856788,537,68,178.16666666666666,173.7147246365591,537,68,139.68,138.4140802086262,19158.4576,260,240,20,2,3.216666666666667e-05,0.000291,0.0,7.725211252055758e-05,0.000758,0.000323,0.0,6.316666666666667e-05,0.0001157812832696,0.000754,0.000312,1e-06,6.854545454545455e-05,0.0001095655583212,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,139.68,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,21766666.666666664,104.15384615384616,178.16666666666666,0,13,12,1354,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,35164,80,6,2025-09-12 18:04:32,0.000906,3854304.635761589,27593.818984547463,14348.78587196468,13245.033112582782,13,12,1354,2138,291,68,104.15384615384616,79.73884889856788,537,68,178.16666666666666,173.7147246365591,537,68,139.68,138.4140802086262,19158.4576,260,240,20,2,3.775e-05,0.000364,0.0,9.08621896060182e-05,0.000891,0.000394,0.0,7.425e-05,0.0001342504655485,0.0008849999999999,0.000387,2e-06,8.045454545454546e-05,0.0001288786346891,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,139.68,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,20406250.0,104.15384615384616,178.16666666666666,0,13,12,1354,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,35172,80,6,2025-09-12 18:04:32,0.000842,4102137.767220903,29691.21140142518,15439.429928741092,14251.781472684086,13,12,1316,2138,272,68,101.23076923076924,72.88996327041284,537,68,178.16666666666666,173.7147246365591,537,68,138.16,136.83937445048485,18725.0144,260,240,20,2,3.508333333333334e-05,0.000344,0.0,8.42001171152524e-05,0.000827,0.000373,0.0,6.891666666666667e-05,0.0001252567086249,0.000823,0.000367,2e-06,7.481818181818181e-05,0.000119968039821,2,4,0,0,4,5,0,6,22,0,0,0.9230769230769232,138.16,42340,43440,0,0,0,0,0,0,0,0,0.0,0.0,1306.0,4.0,0.0,21064516.129032254,101.23076923076924,178.16666666666666,0,13,12,1316,2138,ad_udp,1,ad_udp
192.168.10.10,192.168.30.10,35182,80,6,2025-09-12 18:04:32,0.000973,10698869.475847892,29804.727646454267,15416.238437821172,14388.489208633093,15,14,8054,2356,3304,68,536.9333333333333,1089.0310351663793,565,68,168.28571428571428,175.45102229536823,3304,68,358.9655172413793,813.7800890250988,662238.0332936979,300,280,20,4,3.475e-05,0.000394,0.0,9.026493742628655e-05,0.000957,0.000423,0.0,6.835714285714286e-05,0.0001344829288916,0.000944,0.000418,2e-06,7.261538461538463e-05,0.0001291543730231,4,4,0,0,4,5,0,8,26,0,0,0.9333333333333332,358.9655172413793,42340,43440,0,0,0,0,0,0,0,0,7010.0,4.0,1388.0,4.0,226129032.25806448,20115942.028985508,536.9333333333333,168.28571428571428,0,15,14,8054,2356,ad_udp,1,ad_udp
